Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,176,1,Some Random Commen with Id 0
1,0,4,2,3,Some Random Commen with Id 1
2,0,4,181,4,Some Random Commen with Id 2
3,0,4,71,8,Some Random Commen with Id 3
4,0,4,115,2,Some Random Commen with Id 4
5,0,4,111,4,Some Random Commen with Id 5
6,1,9,83,0,Some Random Commen with Id 6
7,1,9,199,5,Some Random Commen with Id 7
8,1,9,190,7,Some Random Commen with Id 8
9,2,3,37,4,Some Random Commen with Id 9
10,2,3,26,0,Some Random Commen with Id 10
11,2,3,49,6,Some Random Commen with Id 11
12,2,3,191,0,Some Random Commen with Id 12
13,2,3,6,3,Some Random Commen with Id 13
14,2,3,110,5,Some Random Commen with Id 14
15,2,3,155,9,Some Random Commen with Id 15
16,2,3,158,1,Some Random Commen with Id 16
17,2,3,154,4,Some Random Commen with Id 17
18,3,0,130,4,Some Random Commen with Id 18
19,3,0,146,2,Some Random Commen with Id 19
20,3,0,63,8,Some Random Commen with Id 20
21,3,0,66,8,Some Random Commen with Id 21
22,3,0,100,8,Some Random Commen with Id 22
23,4,8,190,0,Some Random Commen with Id 23
24,4,8,45,3,Some Random Commen with Id 24
25,4,8,9,5,Some Random Commen with Id 25
26,4,8,104,7,Some Random Commen with Id 26
27,4,8,153,0,Some Random Commen with Id 27
28,4,8,191,1,Some Random Commen with Id 28
29,4,8,143,6,Some Random Commen with Id 29
30,4,8,155,2,Some Random Commen with Id 30
31,5,5,113,1,Some Random Commen with Id 31
32,5,5,112,8,Some Random Commen with Id 32
33,5,5,125,9,Some Random Commen with Id 33
34,5,5,67,5,Some Random Commen with Id 34
35,5,5,121,8,Some Random Commen with Id 35
36,5,5,181,5,Some Random Commen with Id 36
37,5,5,3,2,Some Random Commen with Id 37
38,6,6,133,1,Some Random Commen with Id 38
39,6,6,54,1,Some Random Commen with Id 39
40,6,6,54,7,Some Random Commen with Id 40
41,6,6,149,1,Some Random Commen with Id 41
42,6,6,46,5,Some Random Commen with Id 42
43,7,5,38,8,Some Random Commen with Id 43
